"user_id","time_UTC","complete","publisher","gender","age","location","survey_weight","answer","response_time"
"626066345","2017-05-22 02:11:29","Complete","News","Female","45-54","US-WEST-MT-Glendive",1.045264,"I am not likely to vote in this election",4266
"628192733","2017-05-22 03:25:59","Complete","News","Female","65+","US-WEST-MT-Bozeman",0.8913826,"Democrat Rob Quist",8386
"628340770","2017-05-21 11:10:56","Complete","Mobile App","Male","25-34","US-WEST-MT-Great Falls",1.0884159,"I am not likely to vote in this election",10792
"632401913","2017-05-21 10:51:50","Complete","Mobile App","Male","35-44","US-WEST-MT-Missoula",0.9198625,"Democrat Rob Quist",20953
"638323551","2017-05-22 13:55:15","Complete","News","Female","18-24","US-WEST-MT-Bozeman",1.2314484,"Democrat Rob Quist",7963
"640234967","2017-05-21 11:10:45","Complete","Mobile App","Male","25-34","US-WEST-MT-Great Falls",1.0884159,"I am not likely to vote in this election",4668
"642957352","2017-05-22 16:33:34","Complete","News","Unknown","Unknown","US-WEST-MT",0,"Democrat Rob Quist",7761
"647635053","2017-05-23 01:12:48","Complete","News","Male","45-54","US-WEST-MT-Helena",0.9459779,"Republican Greg Gianforte",24316
"648153090","2017-05-23 07:14:02","Complete","News","Male","65+","US-WEST-MT-Great Falls",0.8067132,"Democrat Rob Quist",9681
"648830618","2017-05-22 17:54:11","Complete","News","Female","35-44","US-WEST-MT",1.0164077,"I am not likely to vote in this election",5958
"652309857","2017-05-22 22:41:56","Complete","News","Male","65+","US-WEST-MT-Missoula",0.8067132,"Democrat Rob Quist",8185
"66373874","2017-05-23 00:56:53","Complete","News","Unknown","Unknown","US-WEST-MT-Billings",0,"Democrat Rob Quist",8535
"669829263","2017-05-22 00:48:04","Complete","News","Female","65+","US-WEST-MT",0.8913826,"I am not likely to vote in this election",23065
"673592428","2017-05-21 17:10:27","Complete","News","Male","65+","US-WEST-MT",0.8067132,"I am not likely to vote in this election",29843
"674385338","2017-05-22 22:17:12","Complete","News","Female","45-54","US-WEST-MT",1.045264,"Republican Greg Gianforte",6882
"678447968","2017-05-23 10:39:09","Complete","News","Male","25-34","US-WEST-MT-Butte",1.0884159,"Republican Greg Gianforte",19129
"679545270","2017-05-21 13:08:55","Complete","News","Female","55-64","US-WEST-MT",0.9741876,"Republican Greg Gianforte",14611
"682014788","2017-05-21 08:42:56","Complete","News","Female","45-54","US-WEST-MT-Butte",1.045264,"Democrat Rob Quist",10187
"684795650","2017-05-23 04:49:38","Complete","News","Male","45-54","US-WEST-MT-Kalispell",0.9459779,"Democrat Rob Quist",11519
"689141110","2017-05-21 14:00:25","Complete","Mobile App","Female","55-64","US-WEST-MT",0.9741876,"Republican Greg Gianforte",15702
"689270818","2017-05-21 14:11:42","Complete","Mobile App","Male","65+","US-WEST-MT-Great Falls",0.8067132,"I am not likely to vote in this election",38441
"690770330","2017-05-22 21:56:50","Complete","News","Female","45-54","US-WEST-MT-Billings",1.045264,"Libertarian Mark Wicks",10361
"690885102","2017-05-23 08:32:23","Complete","Mobile App","Male","25-34","US-WEST-MT-Kalispell",1.0884159,"Democrat Rob Quist",20735
"693723627","2017-05-22 01:46:47","Complete","News","Male","35-44","US-WEST-MT-Bozeman",0.9198625,"I am not likely to vote in this election",5468
"701203554","2017-05-23 00:32:18","Complete","News","Unknown","Unknown","US-WEST-MT-Billings",0,"I am not likely to vote in this election",4157
"707313707","2017-05-21 10:51:02","Complete","Mobile App","Female","18-24","US-WEST-MT-Havre",1.2314484,"Republican Greg Gianforte",8398
"711639407","2017-05-21 14:29:09","Complete","News","Female","18-24","US-WEST-MT-Bozeman",1.2314484,"Democrat Rob Quist",3693
"71622722","2017-05-22 21:16:21","Complete","News","Female","65+","US-WEST-MT-Missoula",0.8913826,"Republican Greg Gianforte",50885
"717678704","2017-05-21 10:51:01","Complete","Mobile App","Male","45-54","US-WEST-MT",0.9459779,"Democrat Rob Quist",4996
"721313245","2017-05-23 04:50:36","Complete","News","Female","65+","US-WEST-MT-Billings",0.8913826,"Republican Greg Gianforte",12037
"721955599","2017-05-21 12:14:14","Complete","News","Female","25-34","US-WEST-MT-Missoula",1.2026517,"Democrat Rob Quist",22168
"723460696","2017-05-22 04:32:47","Complete","News","Female","55-64","US-WEST-MT",0.9741876,"Republican Greg Gianforte",59230
"723617323","2017-05-21 12:03:22","Complete","News","Female","35-44","US-WEST-MT-Missoula",1.0164077,"Republican Greg Gianforte",13826
